rank,ticker,측정일,목표주가(원),현재가격(원),Upside(%),β_raw,β_Blume,주주요구수익률 Re(%),부채요구수익률 Rd(%),WACC(%),g_term(%),Moat,NWC정의
1,A161390,2026-06-01,2.3977736468962757e+157,63000.0,3.805989915708374e+154,0.836,0.89,10.41,0.66,10.41,0.9,No moat,legacy_proxy
2,A054540,2026-06-01,12935981.0,10000.0,129259.8,0.982,0.988,11.09,0.89,11.09,4.0,No moat,legacy_proxy
3,A263750,2026-06-01,5581133.0,43900.0,12613.3,0.531,0.686,8.98,0.86,8.98,4.0,No moat,legacy_proxy
4,A005710,2026-06-01,495666.0,11100.0,4365.5,0.583,0.721,9.22,0.57,9.22,4.0,Wide moat,legacy_proxy
5,A032190,2026-06-01,835571.0,20650.0,3946.4,1.066,1.044,11.48,0.1,11.48,4.0,No moat,legacy_proxy
6,A023590,2026-06-01,1280670.0,39900.0,3109.7,0.974,0.983,11.05,0.14,11.05,4.0,No moat,legacy_proxy
7,A000700,2026-06-01,158174.0,5360.0,2851.0,0.486,0.656,8.76,1.44,8.76,4.0,No moat,legacy_proxy
8,A000680,2026-06-01,102788.0,3555.0,2791.4,0.816,0.877,10.31,0.96,10.31,4.0,No moat,legacy_proxy
9,A038540,2026-06-01,58987.0,2075.0,2742.8,0.73,0.819,9.91,0.12,9.91,0.0,No moat,legacy_proxy
10,A089860,2026-06-01,832483.0,31350.0,2555.4,0.368,0.577,8.21,0.8,8.21,4.0,No moat,legacy_proxy
11,A272450,2026-06-01,152534.0,6130.0,2388.3,0.843,0.895,10.44,3.92,10.44,4.0,No moat,legacy_proxy
12,A058860,2026-06-01,55113.0,2670.0,1964.2,0.615,0.742,9.37,4.64,9.37,4.0,No moat,legacy_proxy
13,A054800,2026-06-01,313156.0,15300.0,1946.8,0.489,0.658,8.78,1.05,8.78,4.0,No moat,legacy_proxy
14,A005720,2026-06-01,122133.0,6560.0,1761.8,0.516,0.676,8.91,0.72,8.91,4.0,No moat,legacy_proxy
15,A038390,2026-06-01,163938.0,9840.0,1566.0,0.451,0.632,8.6,1.07,8.6,4.0,No moat,legacy_proxy
16,A007700,2026-06-01,290774.0,17820.0,1531.7,0.745,0.829,9.98,1.13,9.98,4.0,No moat,legacy_proxy
17,A095570,2026-06-01,73304.0,4610.0,1490.1,0.543,0.694,9.03,2.17,9.03,4.0,No moat,legacy_proxy
18,A021050,2026-06-01,20739.0,1341.0,1446.5,0.875,0.916,10.59,1.15,10.59,4.0,No moat,legacy_proxy
19,A023150,2026-06-01,57553.0,3795.0,1416.6,0.333,0.553,8.05,1.57,8.05,4.0,No moat,legacy_proxy
20,A084690,2026-06-01,124270.0,9410.0,1220.6,0.598,0.731,9.29,0.76,9.29,4.0,No moat,legacy_proxy
21,A002320,2026-06-01,212911.0,17060.0,1148.0,0.582,0.72,9.21,1.56,9.21,4.0,No moat,legacy_proxy
22,A069510,2026-06-01,152762.0,12770.0,1096.3,0.457,0.636,8.63,6.0,8.63,4.0,Narrow moat,legacy_proxy
23,A102260,2026-06-01,44511.0,3995.0,1014.2,0.523,0.68,8.94,0.9,8.94,4.0,Some moat,legacy_proxy
24,A013580,2026-06-01,234260.0,21100.0,1010.2,0.836,0.89,10.41,1.06,10.41,4.0,No moat,legacy_proxy
25,A136490,2026-06-01,109606.0,9920.0,1004.9,0.659,0.771,9.57,0.74,9.57,4.0,Some moat,legacy_proxy
26,A035760,2026-06-01,404850.0,39250.0,931.5,0.721,0.813,9.86,2.2,9.86,4.0,No moat,legacy_proxy
27,A003480,2026-06-01,53782.0,5270.0,920.5,0.543,0.694,9.03,1.33,9.03,4.0,No moat,legacy_proxy
28,A044450,2026-06-01,102883.0,10150.0,913.6,0.438,0.623,8.54,2.29,8.54,4.0,No moat,legacy_proxy
